vehicle_id,route_id,trip_id,stop_id,direction_id,current_status,current_stop_sequence,label,latitude,longitude,speed,bearing,updated_at
y1300,743,72041171,74611,0.0,STOPPED_AT,1.0,1300,42.353091,-71.054672,,,2025-12-09 13:01:58+00:00
y1867,47,71467681,2755,1.0,STOPPED_AT,1.0,1867,42.36406,-71.10289,,315.0,2025-12-09 13:01:25+00:00
y3002,712,71953938,109804,0.0,IN_TRANSIT_TO,3.0,3002,42.383015,-70.996483,,110.0,2025-12-09 13:01:58+00:00
y3327,116,71825690,5756,0.0,IN_TRANSIT_TO,16.0,3327,42.400667,-71.02106,,,2025-12-09 13:01:59+00:00
y3349,428,71825988,2829,1.0,IN_TRANSIT_TO,50.0,3349,42.377228,-71.054595,,212.0,2025-12-09 13:01:59+00:00
y1459,106,71997742,5466,0.0,STOPPED_AT,28.0,1459,42.433961,-71.045923,,25.0,2025-12-09 13:01:55+00:00
y2058,87,71694590,2589,1.0,IN_TRANSIT_TO,23.0,2058,42.385235,-71.113126,,127.0,2025-12-09 13:01:57+00:00
y1815,558,71466819,7838,1.0,STOPPED_AT,10.0,1815,42.357851,-71.239699,,341.0,2025-12-09 13:01:56+00:00
y1425,131,71996587,9213,1.0,STOPPED_AT,44.0,1425,42.43034,-71.067436,,168.0,2025-12-09 13:01:58+00:00
y1450,108,71997680,9318,0.0,IN_TRANSIT_TO,2.0,1450,42.40261,-71.076097,,,2025-12-09 13:01:30+00:00
y3219,747,71375270,22173,1.0,STOPPED_AT,10.0,3219,42.353937,-71.104615,,,2025-12-09 13:01:17+00:00
y2096,104,71995026,53270,0.0,IN_TRANSIT_TO,31.0,2096,42.425595,-71.073021,,277.0,2025-12-09 13:01:58+00:00
y1663,24,72093949,6368,0.0,IN_TRANSIT_TO,18.0,1663,42.267828,-71.093362,,,2025-12-09 13:01:49+00:00
y1883,9,71465658,160,1.0,STOPPED_AT,13.0,1883,42.338693,-71.050512,,306.0,2025-12-09 13:01:56+00:00
y1622,52,72094717,8523,0.0,IN_TRANSIT_TO,11.0,1622,42.342671,-71.190968,,196.0,2025-12-09 13:01:55+00:00
y1874,22,71466545,1258,0.0,STOPPED_AT,3.0,1874,42.33157,-71.0945,,225.0,2025-12-09 13:01:25+00:00
y1624,36,72093763,10642,0.0,STOPPED_AT,1.0,1624,42.299929,-71.114557,,,2025-12-09 13:01:55+00:00
y2087,67,71694765,14121,0.0,STOPPED_AT,1.0,2087,42.39568,-71.1414,,180.0,2025-12-09 13:01:24+00:00
y1606,31,72094266,544,1.0,STOPPED_AT,10.0,1606,42.287,-71.093549,,,2025-12-09 13:01:32+00:00
y1633,30,72093917,86458,1.0,IN_TRANSIT_TO,12.0,1633,42.277143,-71.114129,,310.0,2025-12-09 13:01:53+00:00
y3296,4,71374814,204,1.0,STOPPED_AT,3.0,3296,42.359264,-71.057,,180.0,2025-12-09 13:01:50+00:00
y1642,32,72094779,2819,0.0,IN_TRANSIT_TO,18.0,1642,42.25488,-71.124353,,185.0,2025-12-09 13:01:56+00:00
y1787,47,71467687,17861,1.0,STOPPED_AT,18.0,1787,42.337028,-71.089387,,38.0,2025-12-09 13:01:57+00:00
y2031,87,71694515,2637,1.0,STOPPED_AT,10.0,2031,42.40609,-71.132268,,,2025-12-09 13:01:46+00:00
ynk257,Shuttle-Generic,BL-47474943,,,IN_TRANSIT_TO,,257,42.34882,-71.095492,,101.0,2025-12-09 13:01:59+00:00
y1680,37,72093742,10642,0.0,STOPPED_AT,1.0,1680,42.29974,-71.11452,,45.0,2025-12-09 13:01:27+00:00
y1420,132,71996548,25990,1.0,STOPPED_AT,3.0,1420,42.486472,-71.100217,,182.0,2025-12-09 13:01:53+00:00
y0815,201,71988314,3089,1.0,IN_TRANSIT_TO,12.0,0815,42.297813,-71.059062,,250.0,2025-12-09 13:01:55+00:00
y3134,110,71995158,5556,1.0,IN_TRANSIT_TO,23.0,3134,42.410377,-71.04568,,180.0,2025-12-09 13:01:56+00:00
y1729,23,71468378,392,1.0,IN_TRANSIT_TO,19.0,1729,42.317639,-71.082118,,,2025-12-09 13:01:53+00:00
y3223,65,71373931,899,0.0,STOPPED_AT,1.0,3223,42.349042,-71.095266,,,2025-12-09 13:01:46+00:00
y3273,554,71374013,7579,0.0,IN_TRANSIT_TO,42.0,3273,42.38234,-71.205982,,102.0,2025-12-09 13:01:58+00:00
y3329,455,71826311,45211,0.0,STOPPED_AT,13.0,3329,42.456661,-70.972342,,33.0,2025-12-09 13:01:56+00:00
y0761,240,71988055,334,0.0,STOPPED_AT,1.0,0761,42.283974,-71.063858,,,2025-12-09 13:01:10+00:00
y1920,1,71468247,856,1.0,STOPPED_AT,19.0,1920,42.333579,-71.073601,,248.0,2025-12-09 13:01:55+00:00
y1905,19,71467445,1520,0.0,STOPPED_AT,5.0,1905,42.343483,-71.102509,,221.0,2025-12-09 13:01:55+00:00
y0807,238,71987593,1650,0.0,IN_TRANSIT_TO,32.0,0807,42.219587,-71.027137,,136.0,2025-12-09 13:01:56+00:00
y2090,109,71994425,5478,1.0,IN_TRANSIT_TO,6.0,2090,42.430726,-71.037093,,259.0,2025-12-09 13:01:59+00:00
y1941,69,71694695,110,0.0,IN_TRANSIT_TO,17.0,1941,42.373164,-71.117693,,293.0,2025-12-09 13:01:58+00:00
y2116,80,71694255,2601,1.0,IN_TRANSIT_TO,36.0,2116,42.374198,-71.083219,,119.0,2025-12-09 13:01:57+00:00
y1987,74,71695674,2156,1.0,IN_TRANSIT_TO,14.0,1987,42.385596,-71.137884,,,2025-12-09 13:01:55+00:00
y1308,742,72039812,74617,1.0,IN_TRANSIT_TO,10.0,1308,42.353309,-71.050853,,,2025-12-09 13:01:49+00:00
y2049,86,71695901,1085,1.0,STOPPED_AT,17.0,2049,42.345446,-71.152747,,157.0,2025-12-09 13:01:58+00:00
y2109,88,71694521,2636,0.0,IN_TRANSIT_TO,25.0,2109,42.405974,-71.131794,,308.0,2025-12-09 13:01:56+00:00
y3109,429,71826081,6267,1.0,STOPPED_AT,1.0,3109,42.42772,-71.01174,,315.0,2025-12-09 13:01:27+00:00
y1667,38,72093815,1937,0.0,IN_TRANSIT_TO,3.0,1667,42.305313,-71.114645,,,2025-12-09 13:01:55+00:00
y1435,96,71997486,76122,0.0,STOPPED_AT,1.0,1435,42.37219,-71.12237,,225.0,2025-12-09 13:00:59+00:00
y1625,21,72094363,11522,1.0,IN_TRANSIT_TO,19.0,1625,42.300289,-71.104209,,,2025-12-09 13:01:47+00:00
y1725,15,71466540,554,0.0,IN_TRANSIT_TO,27.0,1725,42.301554,-71.068265,,121.0,2025-12-09 13:01:55+00:00
y1805,23,71468396,64000,1.0,IN_TRANSIT_TO,25.0,1805,42.327917,-71.083017,,,2025-12-09 13:01:52+00:00
ynk318,Shuttle-Generic,BL-38179982,,,IN_TRANSIT_TO,,318,42.201803,-71.064647,,,2025-12-09 12:59:46+00:00
y1224,28,72040812,390,1.0,STOPPED_AT,24.0,1224,42.315921,-71.083123,,,2025-12-09 13:01:47+00:00
