vehicle_id,route_id,trip_id,stop_id,direction_id,current_status,current_stop_sequence,label,latitude,longitude,speed,bearing,updated_at
y2062,109,71994838,2612,1.0,IN_TRANSIT_TO,37.0,2062,42.383372,-71.07605,,61.0,2025-12-09 04:18:49+00:00
y1799,22,71468355,11531,0.0,STOPPED_AT,6.0,1799,42.32329,-71.09956,,225.0,2025-12-09 04:18:33+00:00
y1673,36,72093528,10642,0.0,STOPPED_AT,1.0,1673,42.29963,-71.11451,,0.0,2025-12-09 04:18:43+00:00
y1784,23,71468459,334,1.0,STOPPED_AT,1.0,1784,42.2837,-71.06389,,90.0,2025-12-09 04:17:32+00:00
y1840,9,71465610,148,0.0,IN_TRANSIT_TO,7.0,1840,42.347057,-71.066431,,107.0,2025-12-09 04:18:50+00:00
y2079,111,71994063,2829,1.0,IN_TRANSIT_TO,22.0,2079,42.372192,-71.064973,,60.0,2025-12-09 04:18:48+00:00
y2004,109,71994702,29003,0.0,IN_TRANSIT_TO,14.0,2004,42.383793,-71.075283,,9.0,2025-12-09 04:18:52+00:00
y1214,28,72040751,1714,0.0,STOPPED_AT,28.0,1214,42.279796,-71.093072,,,2025-12-09 04:18:51+00:00
y1603,42,72093371,64000,0.0,STOPPED_AT,1.0,1603,42.32914,-71.08396,,180.0,2025-12-09 04:18:36+00:00
y2054,106,71994626,53270,1.0,STOPPED_AT,15.0,2054,42.42644,-71.0739,,180.0,2025-12-09 04:18:47+00:00
y1849,9,71465802,150,1.0,STOPPED_AT,17.0,1849,42.342385,-71.057116,,343.0,2025-12-09 04:18:51+00:00
y1988,99,71993644,5412,0.0,IN_TRANSIT_TO,10.0,1988,42.415214,-71.064359,,17.0,2025-12-09 04:18:49+00:00
y1959,109,71994845,5509,0.0,IN_TRANSIT_TO,20.0,1959,42.400964,-71.061045,,45.0,2025-12-09 04:18:51+00:00
y3359,455,71826301,6109,1.0,IN_TRANSIT_TO,7.0,3359,42.51246,-70.89214,,180.0,2025-12-09 04:18:32+00:00
y1617,30,72093909,599,0.0,STOPPED_AT,5.0,1617,42.291303,-71.122915,,218.0,2025-12-09 04:18:48+00:00
y3318,116,71825619,46170,1.0,STOPPED_AT,19.0,3318,42.393749,-71.032562,,270.0,2025-12-09 04:18:52+00:00
y2019,73,71695319,2125,0.0,STOPPED_AT,16.0,2019,42.378085,-71.170176,,303.0,2025-12-09 04:18:51+00:00
y1266,39,72039724,143,1.0,STOPPED_AT,25.0,1266,42.35075,-71.075291,,34.0,2025-12-09 04:18:52+00:00
y1944,109,71994710,7412,1.0,STOPPED_AT,1.0,1944,42.43259,-71.02413,,0.0,2025-12-09 04:18:47+00:00
y1644,32,72094887,875,0.0,STOPPED_AT,1.0,1644,42.30022,-71.11362,,225.0,2025-12-09 04:18:45+00:00
