route_id,direction_id,median,mean,std,count,expected_headway_min,headway_health_score
1,0.0,-0.05,-0.03333333333333333,0.06009252125773315,3,10.0,1.0093425854591067
1,1.0,0.0,0.0,0.023570226039551584,2,10.0,1.002357022603955
104,0.0,-0.05,-0.05,,1,10.0,1.0050000000000001
104,1.0,0.0,-0.011111111111111113,0.08388704928078611,3,10.0,1.0094998160391897
109,0.0,-0.06666666666666667,-0.005555555555555536,0.7768049471559293,3,10.0,1.0782360502711485
109,1.0,0.0,0.011111111111111113,0.034694433324435545,3,10.0,1.0023583322213325
110,0.0,0.03333333333333333,0.03333333333333333,,1,10.0,0.9966666666666667
110,1.0,0.0,0.0,0.4006938426723769,2,10.0,1.0400693842672377
111,0.0,-0.06666666666666667,-0.06666666666666667,,1,10.0,1.0066666666666666
111,1.0,-0.26666666666666666,-0.2888888888888889,0.35052870120771906,3,10.0,1.0639417590096607
116,0.0,-0.058333333333333334,-0.058333333333333334,0.03535533905932737,2,10.0,1.009368867239266
116,1.0,0.06666666666666667,0.06666666666666667,,1,10.0,0.9933333333333334
15,1.0,0.1,0.08333333333333333,0.12583057392117916,3,10.0,1.0042497240587847
16,1.0,-0.03333333333333333,-0.03333333333333333,,1,10.0,1.0033333333333334
22,0.0,0.3333333333333333,0.3333333333333333,,1,10.0,0.9666666666666666
22,1.0,-0.06666666666666667,-0.06666666666666667,,1,10.0,1.0066666666666666
23,0.0,0.0,0.0,,1,10.0,1.0
23,1.0,-0.2,0.0055555555555556095,1.188408521853834,3,10.0,1.1182852966298278
240,0.0,-0.3333333333333333,-0.3333333333333333,,1,10.0,1.0333333333333334
28,0.0,0.15,0.15555555555555556,0.05853140973807077,3,10.0,0.9902975854182516
31,1.0,0.1,0.1,,1,10.0,0.99
32,0.0,-0.08333333333333333,-0.08333333333333333,,1,10.0,1.0083333333333333
36,0.0,-0.11666666666666667,-0.11666666666666667,,1,10.0,1.0116666666666667
39,0.0,-0.024999999999999998,-0.024999999999999998,0.08249579113843054,2,10.0,1.0107495791138432
39,1.0,-0.35,-0.1111111111111111,0.4577521567803226,3,10.0,1.0568863267891433
45,0.0,0.0,0.0,,1,10.0,1.0
455,0.0,-0.95,-0.95,,1,10.0,1.095
47,0.0,0.13333333333333333,0.13333333333333333,,1,10.0,0.9866666666666667
57,1.0,0.01666666666666667,0.01666666666666667,0.11785113019775792,2,10.0,1.010118446353109
66,0.0,-0.11666666666666667,-0.11666666666666667,0.14142135623730953,2,10.0,1.0258088022903977
66,1.0,-0.025,-0.025,0.05892556509887896,2,10.0,1.008392556509888
70,0.0,-0.9333333333333333,-0.9333333333333333,,1,10.0,1.0933333333333333
71,0.0,0.03333333333333333,0.03333333333333333,,1,10.0,0.9966666666666667
73,0.0,0.0,0.0,,1,10.0,1.0
741,0.0,0.9333333333333333,0.9333333333333333,,1,10.0,0.9066666666666666
741,1.0,-0.23333333333333334,-0.23333333333333334,,1,10.0,1.0233333333333332
743,1.0,0.0,0.0,0.5421151989096865,2,10.0,1.0542115198909685
749,0.0,0.2,0.2,,1,10.0,0.9800000000000001
749,1.0,0.06666666666666667,0.06666666666666667,,1,10.0,0.9933333333333334
77,1.0,-0.049999999999999996,-0.049999999999999996,0.04714045207910316,2,10.0,1.0097140452079105
8,0.0,-0.016666666666666666,-0.016666666666666666,,1,10.0,1.0016666666666667
8,1.0,-0.05,-0.05,,1,10.0,1.0050000000000001
86,1.0,0.21666666666666667,0.21666666666666667,,1,10.0,0.9783333333333333
