route_id,direction_id,median,mean,std,count,expected_headway_min,headway_health_score
1,0.0,-0.016666666666666666,-0.011111111111111108,0.3250356105846683,3,10.0,1.033614672169578
1,1.0,0.008333333333333333,0.04722222222222223,0.4151862589605172,6,10.0,1.0367964036738295
10,0.0,-0.4166666666666667,-0.4166666666666667,,1,10.0,1.0416666666666665
10,1.0,0.0,0.0,,1,10.0,1.0
101,0.0,0.4666666666666667,0.4666666666666667,0.7542472332656507,2,10.0,1.0287580566598984
101,1.0,0.15,0.15,,1,10.0,0.985
104,0.0,-0.15,-1.850371707708594e-17,0.4763868642652151,3,10.0,1.0476386864265215
104,1.0,0.38333333333333336,-0.005555555555555554,0.6880595366143296,3,10.0,1.0693615092169886
106,0.0,-0.08333333333333333,-0.08333333333333333,,1,10.0,1.0083333333333333
108,0.0,-0.4,-0.4,,1,10.0,1.04
108,1.0,-0.016666666666666666,-0.016666666666666666,,1,10.0,1.0016666666666667
109,0.0,0.23333333333333334,0.13333333333333333,0.4546060565661952,4,10.0,1.0321272723232862
109,1.0,0.06666666666666667,0.016666666666666673,0.3380910462516799,5,10.0,1.0321424379585014
11,0.0,0.25,0.25,0.8013876853447538,2,10.0,1.0551387685344753
11,1.0,0.016666666666666666,0.016666666666666666,0.07071067811865475,2,10.0,1.0054044011451988
110,0.0,-0.08333333333333334,-0.08333333333333334,0.7071067811865476,2,10.0,1.0790440114519881
110,1.0,0.05,-0.04444444444444445,0.4001157240006853,3,10.0,1.044456016844513
111,0.0,-0.03333333333333333,0.003030303030303034,0.30403016862532484,11,10.0,1.030099986559502
111,1.0,0.0,0.013333333333333341,0.468656472150859,5,10.0,1.0455323138817525
112,1.0,0.7333333333333333,0.7333333333333333,,1,10.0,0.9266666666666667
116,0.0,0.008333333333333331,-0.024999999999999994,0.4941322360124531,4,10.0,1.0519132236012454
116,1.0,0.016666666666666666,-7.434529182757744e-18,0.3900379848548467,7,10.0,1.0390037984854845
119,1.0,0.08333333333333333,0.08333333333333333,,1,10.0,0.9916666666666666
120,0.0,0.016666666666666666,0.016666666666666666,,1,10.0,0.9983333333333333
131,1.0,0.11666666666666667,0.11666666666666667,,1,10.0,0.9883333333333333
134,1.0,0.35,0.35,,1,10.0,0.9650000000000001
137,0.0,0.36666666666666664,0.36666666666666664,,1,10.0,0.9633333333333333
137,1.0,-0.06666666666666667,-0.06666666666666667,,1,10.0,1.0066666666666666
14,0.0,0.016666666666666666,0.016666666666666666,,1,10.0,0.9983333333333333
15,0.0,0.016666666666666666,-0.04166666666666667,0.2939198681424733,4,10.0,1.0335586534809138
15,1.0,0.016666666666666666,0.0041666666666666675,0.09065093817822623,4,10.0,1.008648427151156
16,0.0,-0.05,-0.016666666666666663,0.36968455021364727,4,10.0,1.0386351216880314
16,1.0,-0.041666666666666685,-0.041666666666666685,0.4831896338108075,2,10.0,1.0524856300477474
17,0.0,-0.35,-0.35,,1,10.0,1.035
19,0.0,-0.15,-0.15,0.02357022603955158,2,10.0,1.0173570226039552
19,1.0,-0.04999999999999999,-0.04999999999999999,0.37712361663282534,2,10.0,1.0427123616632827
21,0.0,0.11666666666666667,0.11666666666666667,,1,10.0,0.9883333333333333
21,1.0,-0.058333333333333334,-0.058333333333333334,0.12963624321753373,2,10.0,1.0187969576550866
215,1.0,0.16666666666666666,0.16666666666666666,,1,10.0,0.9833333333333334
216,0.0,0.23333333333333334,0.23333333333333334,,1,10.0,0.9766666666666668
216,1.0,-0.9166666666666666,-0.9166666666666666,,1,10.0,1.0916666666666666
22,0.0,-0.04999999999999999,-0.04999999999999999,0.6363961030678927,2,10.0,1.0686396103067894
22,1.0,-0.05,-0.03666666666666667,0.287566417448986,5,10.0,1.0324233084115653
225,1.0,-0.03333333333333333,-0.03333333333333333,,1,10.0,1.0033333333333334
23,0.0,0.016666666666666666,-0.0033333333333333353,0.16557978942693055,5,10.0,1.0168913122760264
23,1.0,0.01666666666666667,1.1564823173178714e-17,0.334995854037363,6,10.0,1.0334995854037363
230,0.0,0.6333333333333333,0.6333333333333333,,1,10.0,0.9366666666666668
230,1.0,-0.08333333333333333,-0.08333333333333333,,1,10.0,1.0083333333333333
238,0.0,-0.15,-0.15,,1,10.0,1.0150000000000001
238,1.0,0.0,0.0,,1,10.0,1.0
24,0.0,-0.08333333333333333,-0.08333333333333333,,1,10.0,1.0083333333333333
240,0.0,-0.39166666666666666,-0.39166666666666666,0.4360491817317043,2,10.0,1.0827715848398372
28,0.0,0.0,0.03333333333333334,0.3426476432246505,4,10.0,1.0309314309891318
28,1.0,-0.125,-0.13333333333333333,0.33856997744872425,4,10.0,1.0471903310782058
31,0.0,-0.03333333333333333,-0.03333333333333333,,1,10.0,1.0033333333333334
31,1.0,0.19999999999999998,0.19999999999999998,0.23570226039551584,2,10.0,1.0035702260395518
32,0.0,-0.016666666666666666,-0.016666666666666666,0.03333333333333334,3,10.0,1.0050000000000001
32,1.0,-0.016666666666666666,-0.006666666666666665,0.08866290718846924,5,10.0,1.0095329573855136
34E,0.0,0.03333333333333333,0.03333333333333333,,1,10.0,0.9966666666666667
34E,1.0,0.03333333333333333,-1.850371707708594e-17,0.5008326400438906,3,10.0,1.0500832640043891
350,0.0,0.175,0.175,0.15320646925708528,2,10.0,0.9978206469257085
350,1.0,-0.15833333333333335,-0.15833333333333335,0.5539003119294623,2,10.0,1.0712233645262796
354,0.0,-0.03333333333333333,-0.03333333333333333,,1,10.0,1.0033333333333334
354,1.0,-0.03333333333333333,-0.022222222222222216,0.2834966849371794,3,10.0,1.0305718907159402
36,0.0,-0.016666666666666663,-0.016666666666666663,0.5656854249492381,2,10.0,1.0582352091615905
36,1.0,0.05,0.05,,1,10.0,0.9949999999999999
